Azienda,Settore,Dimensione,Livello,Contatto,Email,Tipo Contratto,Durata Contratto,Season,Commercial Value,Bonus Playoff,Net of Ticketing,Gameday Reconciliation,VB Reconciliaiton,CSR Reconciliation,Corp Tix Reconciliation,Sponsor Reconciliation,July,August,September,October,November,December,January,February,March,April,May,June
CALZATURIFICIO DI BESNATE,,,,,,CASH,Anno Solare,23/24,"1,250 €",,"1,250 €",0 €,"1,250 €",,0 €,0 €,,,,,,,,,,,,
CONSULTINVEST,,,,,,CASH,Anno Solare,23/24,"5,000 €",,"3,738 €",390 €,,,"1,262 €","-2,107 €",,,,,,,,,,,,
GENESI RETAILS,,,,,,CASH,Anno Solare,23/24,"9,000 €",,"9,000 €","1,054 €",,,0 €,"-6,803 €",,,,,,,,,,,,
LEADSTAR MEDIA,,,,,,CASH,Anno Solare,23/24,"1,350 €",,"1,350 €",5 €,,,0 €,"1,275 €",,,,,,,,,,,,
MAZZUCHELLI,,,,,,CASH,Anno Solare,23/24,"6,250 €",,"6,250 €",281 €,,,0 €,"2,038 €",,,,,,,,,,,,
RB ALBERGHIERA,,,,,,CASH,Anno Solare,23/24,"2,500 €",,"2,500 €",116 €,,,0 €,763 €,,,,,,,,,,,,
SIELCO,,,,,,CASH,Anno Solare,23/24,"5,000 €",,"3,572 €",210 €,,,"1,428 €",427 €,,,,,,,,,,,,
SUMMEET,,,,,,CASH,Game,23/24,"15,000 €",,"8,266 €",0 €,,"15,000 €","6,734 €","-6,734 €",,,,,,,,,,,,
ESSE SOLAR,,,,,,CASH,Game,23/24,"10,000 €",,"2,948 €",0 €,,"10,000 €","4,592 €","-7,052 €",,,,,,,,,,,,
DROGHERIA 36,,,,,,CASH,Game,23/24,800 €,,800 €,141 €,,,0 €,"-1,313 €",,,,,,,,,,,,
SIMA ENERGIE,,,,,,CASH,Game,23/24,500 €,,500 €,30 €,,,0 €,50 €,,,,,,,,,,,,
A SERVICES,,,,,,CASH,Stagione,23/24,"10,000 €",,"10,000 €",175 €,,,0 €,"7,375 €",,,,,,,,,,,,
A3EMME,,,,,,CM,Stagione,23/24,"6,000 €",,"1,408 €",80 €,,,"4,592 €",88 €,,,,,,,,,,,,
ABBIATI,,,,,,CASH,Stagione,23/24,"7,500 €","1,000 €","6,786 €",548 €,,,714 €,"-1,429 €",,,,,,,,,,,,
ACINQUE (Energy Cup),,,,,,CASH,Stagione,23/24,"6,000 €",,"6,000 €",0 €,,,0 €,"6,000 €",,,,,,,,,,,,
ACINQUE/ACEL,,,,,,CASH,Stagione,23/24,"60,000 €","5,000 €","52,958 €","2,268 €",,,"5,542 €","18,693 €",,,,,,,,,,,,
AGRICOLA,,,,,,CASH,Stagione,23/24,"15,000 €",,"13,215 €",662 €,,,"1,785 €","3,170 €",,,,,,,,,,,,
AON,,,,,,CASH,Stagione,23/24,"15,000 €","2,000 €","7,590 €",575 €,,,"6,180 €","-1,215 €",,,,,,,,,,,,
ART GARDEN,,,,,,CASH,Stagione,23/24,"6,200 €",,"5,052 €",218 €,,,"1,148 €","1,788 €",,,,,,,,,,,,
ART GARDEN_CM,,,,,,CM,Stagione,23/24,"5,800 €",,"4,652 €",218 €,,,"1,148 €","1,388 €",,,,,,,,,,,,
ARTES ,,,,,,CASH,Stagione,23/24,"16,500 €","3,000 €","14,715 €","1,055 €",,,"1,785 €","-1,110 €",,,,,,,,,,,,
AUTOLINEE VARESINE,,,,,,CM,Stagione,23/24,"14,500 €",,"3,934 €",0 €,,,"8,316 €","3,814 €",,,,,,,,,,,,
AUTOTORINO,,,,,,CASH,Stagione,23/24,"5,660 €",,"4,946 €",305 €,,,714 €,371 €,,,,,,,,,,,,
BRAGA,,,,,,CASH,Stagione,23/24,"8,000 €","1,000 €","8,000 €",573 €,,,0 €,-600 €,,,,,,,,,,,,
C'ERA UNA VOLTA,,,,,,CM,Stagione,23/24,"5,000 €",,"4,007 €",565 €,,,993 €,"-4,468 €",,,,,,,,,,,,
CENTRELLA,,,,,,CASH,Stagione,23/24,"4,000 €",600 €,"2,098 €",118 €,,,"1,527 €",336 €,,,,,,,,,,,,
CHARITY STARS,,,,,,CASH,Stagione,23/24,0 €,,0 €,0 €,,,0 €,0 €,,,,,,,,,,,,
COLORIFICIO PAPOTTI,,,,,,CASH,Stagione,23/24,"4,800 €",500 €,"3,372 €",197 €,,,"1,428 €",302 €,,,,,,,,,,,,
CORSI DI LINGUE,,,,,,CM,Stagione,23/24,"7,000 €",,"4,357 €",144 €,,,"1,893 €","2,077 €",,,,,,,,,,,,
DIVITA - RICOLA,,,,,,CASH,Stagione,23/24,"18,000 €","2,000 €","18,000 €",743 €,,,0 €,"6,850 €",,,,,,,,,,,,
ELIOR,,,,,,CASH,Stagione,23/24,"15,000 €",,"15,000 €",846 €,,,0 €,"2,310 €",,,,,,,,,,,,
ELMAR,,,,,,CASH,Stagione,23/24,"5,000 €",,431 €,562 €,,,"3,444 €","-8,114 €",,,,,,,,,,,,
ELMEC INFORMATICA,,,,,,CASH,Stagione,23/24,"100,000 €",,"77,727 €",805 €,"70,000 €",,"19,168 €","-4,888 €",,,,,,,,,,,,
EMMEBI INVESTIGAZIONI,,,,,,CASH,Stagione,23/24,"4,700 €",,"3,438 €",359 €,,,"1,262 €","-1,947 €",,,,,,,,,,,,
