Azienda,Settore,Dimensione,Livello,Contatto,Email,Tipo Contratto,Durata Contratto,Season,Commercial Value,Bonus Playoff,Net of Ticketing,Gameday Reconciliation,VB Reconciliaiton,CSR Reconciliation,Corp Tix Reconciliation,Sponsor Reconciliation,Delta,July,August,September,October,November,December,January,February,March,April,May,June
C'ERA UNA VOLTA,Ho.Re.Ca.,Piccola,Locale,,,CM,Stagione,24/25,7.000 €,,6.582 €,0 €,,,418 €,6.582 €,132 €,,,,,,,,,,,,
CALZATURIFICIO DI BESNATE,Commercio/GDO,Piccola,Locale,,,CASH,Anno Solare,24/25,1.000 €,,1.000 €,0 €,,,0 €,1.000 €,500 €,,,,,,,,,,,,
CENTRELLA,Medico,Piccola,Locale,,,CASH,Stagione,24/25,5.000 €,1.000 €,2.988 €,118 €,,,1.262 €,1.226 €,1.151 €,,,,,,2.500 €,,,2.500 €,,,
COLORIFICIO PAPOTTTI,Commercio/GDO,Piccola,Locale,,,CASH,Stagione,24/25,4.800 €,500 €,3.372 €,95 €,,,1.428 €,1.827 €,1.752 €,,,1.000 €,,1.000 €,,1.000 €,,1.000 €,,800 €,
CONSULTINVEST,Finanziario/Bancario,Grande,Nazionale,,,CASH,Anno Solare,24/25,10.000 €,1.000 €,8.738 €,390 €,,,1.262 €,2.893 €,2.718 €,,,,,,,,,,,,
CORSI DI LINGUE,Scolastico/Corsi,Piccola,Locale,,,CM,Stagione,24/25,4.000 €,,2.107 €,345 €,,,1.893 €,-3.188 €,-3.263 €,,,,,,,,,,,,
CREATIVE LABS,Servizi/Artigiano,Piccola,Nazionale,,,CASH,Stagione,24/25,10.000 €,,6.954 €,562 €,,,2.296 €,-1.591 €,-1.916 €,,,,,10.000 €,,,,,,,
DIVANI & DIVANI,Commercio/GDO,Piccola,Nazionale,,,CM,Stagione,24/25,25.000 €,3.500 €,24.286 €,1.414 €,,,714 €,3.071 €,-2.454 €,,,,,,,,,,,,
DIVITA - RICOLA,Food & Beverage,Media,Nazionale,,,CASH,Stagione,24/25,20.000 €,2.500 €,20.000 €,1.287 €,,,0 €,695 €,-6.055 €,,,10.000 €,,10.000 €,,,,,,,
DUFERCO,Energia,Grande,Nazionale,,,CASH,Stagione,24/25,20.000 €,3.000 €,17.704 €,823 €,,,2.296 €,5.354 €,4.854 €,,,,10.000 €,,,10.000 €,,,,,
EDILDOMUS,Edilizia,Piccola,Locale,,,CASH,Stagione,24/25,6.250 €,600 €,5.536 €,152 €,2.000 €,,714 €,1.261 €,2.511 €,,,,,,,,,,,,
ELMAR,Elettronica,Piccola,Locale,,,CASH,Stagione,24/25,10.000 €,1.500 €,5.431 €,562 €,,,3.444 €,-3.114 €,-4.039 €,,,5.000 €,,,5.000 €,,,,,,
ELMEC INFORMATICA,IT,Grande,Nazionale,,,CASH,Stagione,24/25,100.000 €,,77.727 €,555 €,70.000 €,,19.168 €,-1.798 €,67.627 €,,,,,,,,,,,,
ERREÀ,Abbigliamento,Media,Nazionale,,,CM,Stagione,24/25,65.000 €,,61.276 €,805 €,,,3.724 €,49.021 €,48.571 €,,,,,,,,,,,,
FILVA,Industria,Media,Nazionale,,,CASH,Stagione,24/25,7.080 €,1.000 €,5.652 €,33 €,,,1.428 €,5.152 €,4.652 €,,,,7.080 €,,,,,,,,
FINAZZI,Serramenti,Piccola,Locale,,,CASH,Stagione,24/25,7.500 €,1.000 €,6.238 €,62 €,,,1.262 €,5.313 €,4.388 €,,,,,7.500 €,,,,,,,
FNM,Trasporti,Grande,Regionale,,,CASH,Stagione,24/25,45.000 €,,38.908 €,1.296 €,,15.000 €,4.592 €,4.228 €,18.978 €,,,,,,,,,,,,
FRAGALE,Ho.Re.Ca.,Piccola,Locale,,,CM,Stagione,24/25,3.500 €,,3.500 €,43 €,,,0 €,2.850 €,2.800 €,,,,,,,,,,,,
GENESI RETAILS,Commercio/GDO,Piccola,Locale,,,CASH,Anno Solare,24/25,9.000 €,,9.000 €,1.054 €,,,0 €,-6.803 €,-9.078 €,,,,,,,,,,,,
GHERITTI,Facility Management,Piccola,Locale,,,CASH,Stagione,24/25,4.500 €,500 €,3.786 €,129 €,,,714 €,1.849 €,1.599 €,,,,1.000 €,1.000 €,,1.000 €,1.000 €,5.000 €,,,
GRAFICHE QUIRICI,Media,Piccola,Locale,,,CM,Stagione,24/25,7.000 €,,3.442 €,311 €,,,3.558 €,-1.223 €,-1.298 €,,,,,,,,,,,,
GREENBACK,Servizi/Artigiano,Piccola,Locale,,,CM,Stagione,24/25,4.000 €,,3.286 €,84 €,,,714 €,2.024 €,1.774 €,,,,,,,,,,,,
GRESSONEY - VALLE D'AOSTA,Pubblico,Piccola,Regionale,,,CASH,Stagione,24/25,30.000 €,,30.000 €,0 €,,,0 €,30.000 €,30.000 €,,,,,,,,,,,,30.000 €
IDROTECH,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,6.500 €,1.000 €,3.644 €,287 €,,,2.856 €,-656 €,-906 €,,,2.500 €,2.000 €,2.000 €,,,,,,,
IN PIÙ BROKER,,,,,,CASH,Anno Solare,24/25,10.000 €,,9.631 €,748 €,,,0 €,-2.743 €,2.246 €,,,,,,,,,5.000 €,5.000 €,,
